run,checkpoint,samples,cycle,time_seconds
1,1,100000,100005,0.00100005
1,2,200000,200005,0.00200005
1,3,300000,300005,0.00300005
1,4,400000,400005,0.00400005
1,5,500000,500005,0.00500005
1,6,600000,600005,0.00600005
1,7,700000,700005,0.00700005
1,8,800000,800005,0.00800005
1,9,900000,900005,0.00900005
1,10,1000000,1000005,0.01000005
2,1,100000,100005,0.00100005
2,2,200000,200005,0.00200005
2,3,300000,300005,0.00300005
2,4,400000,400005,0.00400005
2,5,500000,500005,0.00500005
2,6,600000,600005,0.00600005
2,7,700000,700005,0.00700005
2,8,800000,800005,0.00800005
2,9,900000,900005,0.00900005
2,10,1000000,1000005,0.01000005
3,1,100000,100005,0.00100005
3,2,200000,200005,0.00200005
3,3,300000,300005,0.00300005
3,4,400000,400005,0.00400005
3,5,500000,500005,0.00500005
3,6,600000,600005,0.00600005
3,7,700000,700005,0.00700005
3,8,800000,800005,0.00800005
3,9,900000,900005,0.00900005
3,10,1000000,1000005,0.01000005
4,1,100000,100005,0.00100005
4,2,200000,200005,0.00200005
4,3,300000,300005,0.00300005
4,4,400000,400005,0.00400005
4,5,500000,500005,0.00500005
4,6,600000,600005,0.00600005
4,7,700000,700005,0.00700005
4,8,800000,800005,0.00800005
4,9,900000,900005,0.00900005
4,10,1000000,1000005,0.01000005
5,1,100000,100005,0.00100005
5,2,200000,200005,0.00200005
5,3,300000,300005,0.00300005
5,4,400000,400005,0.00400005
5,5,500000,500005,0.00500005
5,6,600000,600005,0.00600005
5,7,700000,700005,0.00700005
5,8,800000,800005,0.00800005
5,9,900000,900005,0.00900005
5,10,1000000,1000005,0.01000005
6,1,100000,100005,0.00100005
6,2,200000,200005,0.00200005
6,3,300000,300005,0.00300005
6,4,400000,400005,0.00400005
6,5,500000,500005,0.00500005
6,6,600000,600005,0.00600005
6,7,700000,700005,0.00700005
6,8,800000,800005,0.00800005
6,9,900000,900005,0.00900005
6,10,1000000,1000005,0.01000005
7,1,100000,100005,0.00100005
7,2,200000,200005,0.00200005
7,3,300000,300005,0.00300005
7,4,400000,400005,0.00400005
7,5,500000,500005,0.00500005
7,6,600000,600005,0.00600005
7,7,700000,700005,0.00700005
7,8,800000,800005,0.00800005
7,9,900000,900005,0.00900005
7,10,1000000,1000005,0.01000005
8,1,100000,100005,0.00100005
8,2,200000,200005,0.00200005
8,3,300000,300005,0.00300005
8,4,400000,400005,0.00400005
8,5,500000,500005,0.00500005
8,6,600000,600005,0.00600005
8,7,700000,700005,0.00700005
8,8,800000,800005,0.00800005
8,9,900000,900005,0.00900005
8,10,1000000,1000005,0.01000005
9,1,100000,100005,0.00100005
9,2,200000,200005,0.00200005
9,3,300000,300005,0.00300005
9,4,400000,400005,0.00400005
9,5,500000,500005,0.00500005
9,6,600000,600005,0.00600005
9,7,700000,700005,0.00700005
9,8,800000,800005,0.00800005
9,9,900000,900005,0.00900005
9,10,1000000,1000005,0.01000005
10,1,100000,100005,0.00100005
10,2,200000,200005,0.00200005
10,3,300000,300005,0.00300005
10,4,400000,400005,0.00400005
10,5,500000,500005,0.00500005
10,6,600000,600005,0.00600005
10,7,700000,700005,0.00700005
10,8,800000,800005,0.00800005
10,9,900000,900005,0.00900005
10,10,1000000,1000005,0.01000005
